resume_id,full_name,age,city,profession,profession_category,experience_years,experience_level,work_experience,skills,salary,education,languages,job_expectations,created_date,ml_text
246,Петров Андрей Валентинович,22,Москва,Консультант,Other,1,Junior,"Консультант в Яндекс (2024-11 - настоящее время): Анализ данных, Консультирование клиентов","Аналитическое мышление, Презентации, Консалтинг",96408,Среднее специальное,Русский (родной),"Интересные проекты, Гибкий график",2025-01-06,"Кандидат: Петров Андрей Валентинович. Профессия: Консультант. Опыт: 1 лет (Junior). Навыки: Аналитическое мышление, Презентации, Консалтинг. Опыт работы: Консультант в Яндекс (2024-11 - настоящее время): Анализ данных, Консультирование клиентов. Образование: Среднее специальное. Ожидания: Интересные проекты, Гибкий график. Город: Москва"
247,Петров Алексей Артемович,26,Санкт-Петербург,Продуктовый менеджер,Management,6,Senior,"Младший Продуктовый менеджер в Яндекс (2019-11 - настоящее время): Управление командой, Планирование проектов | Продуктовый менеджер в Газпром (2019-11 - 2025-08): Управление командой, Планирование проектов","SQL, Product Management, Analytics",388999,Среднее специальное,Русский (родной),"Гибкий график, Конкурентная зарплата",2025-07-23,"Кандидат: Петров Алексей Артемович. Профессия: Продуктовый менеджер. Опыт: 6 лет (Senior). Навыки: SQL, Product Management, Analytics. Опыт работы: Младший Продуктовый менеджер в Яндекс (2019-11 - настоящее время): Управление командой, Планирование проектов | Продуктовый менеджер в Газпром (2019-11 - 2025-08): Управление командой, Планирование проектов. Образование: Среднее специальное. Ожидания: Гибкий график, Конкурентная зарплата. Город: Санкт-Петербург"
248,Козлова Алина Александровна,28,Санкт-Петербург,Инженер-проектировщик,Other,1,Junior,"Младший Инженер-проектировщик в Яндекс (2024-11 - настоящее время): Поддержка пользователей, Консультирование клиентов","AutoCAD, Проектирование, Черчение",81997,Высшее,Русский (родной),"Гибкий график, Профессиональный рост",2024-02-28,"Кандидат: Козлова Алина Александровна. Профессия: Инженер-проектировщик. Опыт: 1 лет (Junior). Навыки: AutoCAD, Проектирование, Черчение. Опыт работы: Младший Инженер-проектировщик в Яндекс (2024-11 - настоящее время): Поддержка пользователей, Консультирование клиентов. Образование: Высшее. Ожидания: Гибкий график, Профессиональный рост. Город: Санкт-Петербург"
249,Лебедева Алина Вадимовна,28,Москва,Инженер-проектировщик,Other,4,Middle,"Инженер-проектировщик в Газпром (2021-11 - настоящее время): Консультирование клиентов, Поддержка пользователей | Старший Инженер-проектировщик в Яндекс (2021-11 - 2025-09): Консультирование клиентов, Поддержка пользователей","Проектирование, AutoCAD, Черчение",167711,Среднее специальное,Русский (родной),"Конкурентная зарплата, Гибкий график",2025-02-24,"Кандидат: Лебедева Алина Вадимовна. Профессия: Инженер-проектировщик. Опыт: 4 лет (Middle). Навыки: Проектирование, AutoCAD, Черчение. Опыт работы: Инженер-проектировщик в Газпром (2021-11 - настоящее время): Консультирование клиентов, Поддержка пользователей | Старший Инженер-проектировщик в Яндекс (2021-11 - 2025-09): Консультирование клиентов, Поддержка пользователей. Образование: Среднее специальное. Ожидания: Конкурентная зарплата, Гибкий график. Город: Москва"
250,Новиков Андрей Валентинович,34,Новосибирск,Аналитик данных,Other,4,Middle,"Младший Аналитик данных в Сбербанк (2021-11 - настоящее время): Анализ данных, Поддержка пользователей | Аналитик данных в Тинькофф (2023-11 - 2025-07): Анализ данных, Поддержка пользователей","SQL, Excel, Python",220603,Высшее,"Русский (родной), Английский (B1)","Конкурентная зарплата, Гибкий график",2024-09-18,"Кандидат: Новиков Андрей Валентинович. Профессия: Аналитик данных. Опыт: 4 лет (Middle). Навыки: SQL, Excel, Python. Опыт работы: Младший Аналитик данных в Сбербанк (2021-11 - настоящее время): Анализ данных, Поддержка пользователей | Аналитик данных в Тинькофф (2023-11 - 2025-07): Анализ данных, Поддержка пользователей. Образование: Высшее. Ожидания: Конкурентная зарплата, Гибкий график. Город: Новосибирск"
251,Лебедев Виктор Андреевич,31,Санкт-Петербург,Экономист,Finance,2,Junior,"Экономист в ВТБ (2023-11 - настоящее время): Финансовая отчетность, Ведение учета | Старший Экономист в Газпром (2023-11 - 2025-08): Анализ показателей, Финансовая отчетность","Статистика, Excel, Экономический анализ",79647,Среднее специальное,"Русский (родной), Английский (B2)","Конкурентная зарплата, Интересные проекты",2024-04-27,"Кандидат: Лебедев Виктор Андреевич. Профессия: Экономист. Опыт: 2 лет (Junior). Навыки: Статистика, Excel, Экономический анализ. Опыт работы: Экономист в ВТБ (2023-11 - настоящее время): Финансовая отчетность, Ведение учета | Старший Экономист в Газпром (2023-11 - 2025-08): Анализ показателей, Финансовая отчетность. Образование: Среднее специальное. Ожидания: Конкурентная зарплата, Интересные проекты. Город: Санкт-Петербург"
252,Смирнова Варвара Александровна,29,Казань,UX/UI дизайнер,Design,4,Middle,"UX/UI дизайнер в ВТБ (2021-11 - настоящее время): Прототипирование, Создание дизайнов | UX/UI дизайнер в Яндекс (2023-11 - 2025-06): Создание дизайнов, Прототипирование","User Research, Wireframing, Figma",135353,Среднее специальное,"Русский (родной), Английский (B1)","Профессиональный рост, Конкурентная зарплата",2024-04-05,"Кандидат: Смирнова Варвара Александровна. Профессия: UX/UI дизайнер. Опыт: 4 лет (Middle). Навыки: User Research, Wireframing, Figma. Опыт работы: UX/UI дизайнер в ВТБ (2021-11 - настоящее время): Прототипирование, Создание дизайнов | UX/UI дизайнер в Яндекс (2023-11 - 2025-06): Создание дизайнов, Прототипирование. Образование: Среднее специальное. Ожидания: Профессиональный рост, Конкурентная зарплата. Город: Казань"
253,Козлов Андрей Алексеевич,26,Москва,Продуктовый менеджер,Management,4,Middle,"Junior Продуктовый менеджер в Тинькофф (2021-11 - настоящее время): Управление командой, Планирование проектов | Продуктовый менеджер в Яндекс (2022-11 - 2025-08): Планирование проектов, Переговоры","Analytics, SQL, Product Management",239223,Высшее,"Русский (родной), Английский (B2)","Конкурентная зарплата, Профессиональный рост",2023-12-28,"Кандидат: Козлов Андрей Алексеевич. Профессия: Продуктовый менеджер. Опыт: 4 лет (Middle). Навыки: Analytics, SQL, Product Management. Опыт работы: Junior Продуктовый менеджер в Тинькофф (2021-11 - настоящее время): Управление командой, Планирование проектов | Продуктовый менеджер в Яндекс (2022-11 - 2025-08): Планирование проектов, Переговоры. Образование: Высшее. Ожидания: Конкурентная зарплата, Профессиональный рост. Город: Москва"
254,Иванова Валентина Андреевна,34,Москва,Экономист,Finance,6,Senior,"Junior Экономист в ВТБ (2019-11 - настоящее время): Ведение учета, Анализ показателей | Экономист в Тинькофф (2023-11 - 2025-08): Финансовая отчетность, Ведение учета","Excel, Статистика, Экономический анализ",232792,Высшее,"Русский (родной), Английский (B2)","Конкурентная зарплата, Гибкий график",2024-02-14,"Кандидат: Иванова Валентина Андреевна. Профессия: Экономист. Опыт: 6 лет (Senior). Навыки: Excel, Статистика, Экономический анализ. Опыт работы: Junior Экономист в ВТБ (2019-11 - настоящее время): Ведение учета, Анализ показателей | Экономист в Тинькофф (2023-11 - 2025-08): Финансовая отчетность, Ведение учета. Образование: Высшее. Ожидания: Конкурентная зарплата, Гибкий график. Город: Москва"
255,Новикова Алена Вадимовна,28,Казань,Веб-дизайнер,Design,8,Senior,"Junior Веб-дизайнер в ВТБ (2017-11 - настоящее время): Создание дизайнов, Разработка интерфейсов | Старший Веб-дизайнер в Яндекс (2020-11 - 2025-08): Прототипирование, Создание дизайнов","UI/UX, Figma, Prototyping",304999,Высшее,"Русский (родной), Английский (B1)","Конкурентная зарплата, Профессиональный рост",2025-02-27,"Кандидат: Новикова Алена Вадимовна. Профессия: Веб-дизайнер. Опыт: 8 лет (Senior). Навыки: UI/UX, Figma, Prototyping. Опыт работы: Junior Веб-дизайнер в ВТБ (2017-11 - настоящее время): Создание дизайнов, Разработка интерфейсов | Старший Веб-дизайнер в Яндекс (2020-11 - 2025-08): Прототипирование, Создание дизайнов. Образование: Высшее. Ожидания: Конкурентная зарплата, Профессиональный рост. Город: Казань"
256,Смирнова Алена Борисовна,22,Екатеринбург,Веб-дизайнер,Design,2,Junior,"Младший Веб-дизайнер в Тинькофф (2023-11 - настоящее время): Прототипирование, Создание дизайнов | Старший Веб-дизайнер в ВТБ (2023-11 - 2025-08): Прототипирование, Разработка интерфейсов","Prototyping, Figma, UI/UX",88785,Среднее специальное,Русский (родной),"Профессиональный рост, Конкурентная зарплата",2024-02-12,"Кандидат: Смирнова Алена Борисовна. Профессия: Веб-дизайнер. Опыт: 2 лет (Junior). Навыки: Prototyping, Figma, UI/UX. Опыт работы: Младший Веб-дизайнер в Тинькофф (2023-11 - настоящее время): Прототипирование, Создание дизайнов | Старший Веб-дизайнер в ВТБ (2023-11 - 2025-08): Прототипирование, Разработка интерфейсов. Образование: Среднее специальное. Ожидания: Профессиональный рост, Конкурентная зарплата. Город: Екатеринбург"
257,Сидоров Андрей Васильевич,37,Екатеринбург,Графический дизайнер,Design,8,Senior,"Младший Графический дизайнер в Тинькофф (2017-11 - настоящее время): Прототипирование, Создание дизайнов | Графический дизайнер в Тинькофф (2017-11 - 2025-08): Разработка интерфейсов, Прототипирование","Adobe Photoshop, Illustrator, Брендинг",325476,Высшее,"Русский (родной), Английский (B2)","Конкурентная зарплата, Интересные проекты",2025-05-12,"Кандидат: Сидоров Андрей Васильевич. Профессия: Графический дизайнер. Опыт: 8 лет (Senior). Навыки: Adobe Photoshop, Illustrator, Брендинг. Опыт работы: Младший Графический дизайнер в Тинькофф (2017-11 - настоящее время): Прототипирование, Создание дизайнов | Графический дизайнер в Тинькофф (2017-11 - 2025-08): Разработка интерфейсов, Прототипирование. Образование: Высшее. Ожидания: Конкурентная зарплата, Интересные проекты. Город: Екатеринбург"
258,Лебедев Андрей Валентинович,35,Новосибирск,Консультант,Other,8,Senior,"Младший Консультант в Сбербанк (2017-11 - настоящее время): Поддержка пользователей, Анализ данных | Консультант в Яндекс (2020-11 - 2025-09): Консультирование клиентов, Поддержка пользователей","Аналитическое мышление, Консалтинг, Презентации",272232,Среднее специальное,Русский (родной),"Гибкий график, Интересные проекты",2024-08-18,"Кандидат: Лебедев Андрей Валентинович. Профессия: Консультант. Опыт: 8 лет (Senior). Навыки: Аналитическое мышление, Консалтинг, Презентации. Опыт работы: Младший Консультант в Сбербанк (2017-11 - настоящее время): Поддержка пользователей, Анализ данных | Консультант в Яндекс (2020-11 - 2025-09): Консультирование клиентов, Поддержка пользователей. Образование: Среднее специальное. Ожидания: Гибкий график, Интересные проекты. Город: Новосибирск"
259,Попов Василий Валерьевич,28,Новосибирск,HR менеджер,Management,1,Junior,"Junior HR менеджер в Сбербанк (2024-11 - настоящее время): Планирование проектов, Переговоры","Подбор персонала, HR аналитика, Onboarding",79067,Среднее специальное,Русский (родной),"Профессиональный рост, Интересные проекты",2024-08-10,"Кандидат: Попов Василий Валерьевич. Профессия: HR менеджер. Опыт: 1 лет (Junior). Навыки: Подбор персонала, HR аналитика, Onboarding. Опыт работы: Junior HR менеджер в Сбербанк (2024-11 - настоящее время): Планирование проектов, Переговоры. Образование: Среднее специальное. Ожидания: Профессиональный рост, Интересные проекты. Город: Новосибирск"
260,Козлова Александра Алексеевна,34,Санкт-Петербург,Java разработчик,IT,6,Senior,"Младший Java разработчик в Сбербанк (2019-11 - настоящее время): Разработка приложений, Оптимизация баз данных | Java разработчик в Тинькофф (2021-11 - 2025-09): Оптимизация баз данных, Тестирование ПО","Hibernate, Java, SQL",248022,Высшее,Русский (родной),"Конкурентная зарплата, Интересные проекты",2024-07-30,"Кандидат: Козлова Александра Алексеевна. Профессия: Java разработчик. Опыт: 6 лет (Senior). Навыки: Hibernate, Java, SQL. Опыт работы: Младший Java разработчик в Сбербанк (2019-11 - настоящее время): Разработка приложений, Оптимизация баз данных | Java разработчик в Тинькофф (2021-11 - 2025-09): Оптимизация баз данных, Тестирование ПО. Образование: Высшее. Ожидания: Конкурентная зарплата, Интересные проекты. Город: Санкт-Петербург"
261,Попов Василий Борисович,33,Казань,Экономист,Finance,8,Senior,"Junior Экономист в ВТБ (2017-11 - настоящее время): Анализ показателей, Ведение учета | Старший Экономист в Сбербанк (2018-11 - 2025-07): Финансовая отчетность, Ведение учета","Статистика, Экономический анализ, Excel",282763,Среднее специальное,"Русский (родной), Английский (B1)","Конкурентная зарплата, Профессиональный рост",2024-09-17,"Кандидат: Попов Василий Борисович. Профессия: Экономист. Опыт: 8 лет (Senior). Навыки: Статистика, Экономический анализ, Excel. Опыт работы: Junior Экономист в ВТБ (2017-11 - настоящее время): Анализ показателей, Ведение учета | Старший Экономист в Сбербанк (2018-11 - 2025-07): Финансовая отчетность, Ведение учета. Образование: Среднее специальное. Ожидания: Конкурентная зарплата, Профессиональный рост. Город: Казань"
262,Лебедева Алена Валерьевна,32,Екатеринбург,Инженер-проектировщик,Other,5,Middle,"Junior Инженер-проектировщик в ВТБ (2020-11 - настоящее время): Анализ данных, Поддержка пользователей | Старший Инженер-проектировщик в Газпром (2021-11 - 2025-10): Консультирование клиентов, Анализ данных","Проектирование, AutoCAD, Черчение",138996,Среднее специальное,Русский (родной),"Гибкий график, Профессиональный рост",2024-03-06,"Кандидат: Лебедева Алена Валерьевна. Профессия: Инженер-проектировщик. Опыт: 5 лет (Middle). Навыки: Проектирование, AutoCAD, Черчение. Опыт работы: Junior Инженер-проектировщик в ВТБ (2020-11 - настоящее время): Анализ данных, Поддержка пользователей | Старший Инженер-проектировщик в Газпром (2021-11 - 2025-10): Консультирование клиентов, Анализ данных. Образование: Среднее специальное. Ожидания: Гибкий график, Профессиональный рост. Город: Екатеринбург"
263,Новикова Валентина Вадимовна,31,Казань,Java разработчик,IT,4,Middle,"Java разработчик в Яндекс (2021-11 - настоящее время): Разработка приложений, Оптимизация баз данных | Старший Java разработчик в Яндекс (2022-11 - 2025-06): Разработка приложений, Тестирование ПО","Java, SQL, Spring",181270,Среднее специальное,"Русский (родной), Английский (B2)","Конкурентная зарплата, Гибкий график",2025-06-09,"Кандидат: Новикова Валентина Вадимовна. Профессия: Java разработчик. Опыт: 4 лет (Middle). Навыки: Java, SQL, Spring. Опыт работы: Java разработчик в Яндекс (2021-11 - настоящее время): Разработка приложений, Оптимизация баз данных | Старший Java разработчик в Яндекс (2022-11 - 2025-06): Разработка приложений, Тестирование ПО. Образование: Среднее специальное. Ожидания: Конкурентная зарплата, Гибкий график. Город: Казань"
264,Лебедев Артем Валерьевич,34,Новосибирск,Графический дизайнер,Design,4,Middle,"Младший Графический дизайнер в ВТБ (2021-11 - настоящее время): Разработка интерфейсов, Создание дизайнов | Старший Графический дизайнер в ВТБ (2023-11 - 2025-06): Создание дизайнов, Разработка интерфейсов","Illustrator, Брендинг, Adobe Photoshop",176978,Среднее специальное,Русский (родной),"Гибкий график, Интересные проекты",2024-06-10,"Кандидат: Лебедев Артем Валерьевич. Профессия: Графический дизайнер. Опыт: 4 лет (Middle). Навыки: Illustrator, Брендинг, Adobe Photoshop. Опыт работы: Младший Графический дизайнер в ВТБ (2021-11 - настоящее время): Разработка интерфейсов, Создание дизайнов | Старший Графический дизайнер в ВТБ (2023-11 - 2025-06): Создание дизайнов, Разработка интерфейсов. Образование: Среднее специальное. Ожидания: Гибкий график, Интересные проекты. Город: Новосибирск"
265,Кузнецова Алена Валерьевна,30,Новосибирск,Бухгалтер,Finance,3,Middle,"Бухгалтер в Сбербанк (2022-11 - настоящее время): Анализ показателей, Финансовая отчетность | Бухгалтер в Тинькофф (2023-11 - 2025-08): Ведение учета, Финансовая отчетность","1С, Налоги, Бухгалтерский учет",153683,Среднее специальное,Русский (родной),"Гибкий график, Конкурентная зарплата",2025-04-19,"Кандидат: Кузнецова Алена Валерьевна. Профессия: Бухгалтер. Опыт: 3 лет (Middle). Навыки: 1С, Налоги, Бухгалтерский учет. Опыт работы: Бухгалтер в Сбербанк (2022-11 - настоящее время): Анализ показателей, Финансовая отчетность | Бухгалтер в Тинькофф (2023-11 - 2025-08): Ведение учета, Финансовая отчетность. Образование: Среднее специальное. Ожидания: Гибкий график, Конкурентная зарплата. Город: Новосибирск"
266,Новиков Борис Александрович,26,Санкт-Петербург,Аналитик данных,Other,6,Senior,"Младший Аналитик данных в ВТБ (2019-11 - настоящее время): Консультирование клиентов, Поддержка пользователей | Старший Аналитик данных в ВТБ (2022-11 - 2025-09): Поддержка пользователей, Анализ данных","SQL, Python, Excel",225539,Высшее,Русский (родной),"Конкурентная зарплата, Интересные проекты",2024-11-15,"Кандидат: Новиков Борис Александрович. Профессия: Аналитик данных. Опыт: 6 лет (Senior). Навыки: SQL, Python, Excel. Опыт работы: Младший Аналитик данных в ВТБ (2019-11 - настоящее время): Консультирование клиентов, Поддержка пользователей | Старший Аналитик данных в ВТБ (2022-11 - 2025-09): Поддержка пользователей, Анализ данных. Образование: Высшее. Ожидания: Конкурентная зарплата, Интересные проекты. Город: Санкт-Петербург"
267,Морозова Алла Валентиновна,26,Новосибирск,Графический дизайнер,Design,1,Junior,"Графический дизайнер в Газпром (2024-11 - настоящее время): Создание дизайнов, Разработка интерфейсов","Брендинг, Illustrator, Adobe Photoshop",99516,Среднее специальное,Русский (родной),"Интересные проекты, Конкурентная зарплата",2025-10-01,"Кандидат: Морозова Алла Валентиновна. Профессия: Графический дизайнер. Опыт: 1 лет (Junior). Навыки: Брендинг, Illustrator, Adobe Photoshop. Опыт работы: Графический дизайнер в Газпром (2024-11 - настоящее время): Создание дизайнов, Разработка интерфейсов. Образование: Среднее специальное. Ожидания: Интересные проекты, Конкурентная зарплата. Город: Новосибирск"
268,Новиков Александр Андреевич,25,Санкт-Петербург,Бухгалтер,Finance,4,Middle,"Бухгалтер в Тинькофф (2021-11 - настоящее время): Ведение учета, Анализ показателей | Старший Бухгалтер в Яндекс (2022-11 - 2025-06): Финансовая отчетность, Ведение учета","Налоги, 1С, Бухгалтерский учет",239853,Высшее,Русский (родной),"Конкурентная зарплата, Гибкий график",2025-06-02,"Кандидат: Новиков Александр Андреевич. Профессия: Бухгалтер. Опыт: 4 лет (Middle). Навыки: Налоги, 1С, Бухгалтерский учет. Опыт работы: Бухгалтер в Тинькофф (2021-11 - настоящее время): Ведение учета, Анализ показателей | Старший Бухгалтер в Яндекс (2022-11 - 2025-06): Финансовая отчетность, Ведение учета. Образование: Высшее. Ожидания: Конкурентная зарплата, Гибкий график. Город: Санкт-Петербург"
269,Сидорова Анастасия Валерьевна,29,Казань,Python разработчик,IT,2,Junior,"Junior Python разработчик в Сбербанк (2023-11 - настоящее время): Разработка приложений, Оптимизация баз данных | Старший Python разработчик в Газпром (2023-11 - 2025-07): Оптимизация баз данных, Разработка приложений","SQL, Flask, Git",108314,Среднее специальное,"Русский (родной), Английский (B2)","Интересные проекты, Гибкий график",2024-10-20,"Кандидат: Сидорова Анастасия Валерьевна. Профессия: Python разработчик. Опыт: 2 лет (Junior). Навыки: SQL, Flask, Git. Опыт работы: Junior Python разработчик в Сбербанк (2023-11 - настоящее время): Разработка приложений, Оптимизация баз данных | Старший Python разработчик в Газпром (2023-11 - 2025-07): Оптимизация баз данных, Разработка приложений. Образование: Среднее специальное. Ожидания: Интересные проекты, Гибкий график. Город: Казань"
270,Лебедева Валерия Артемовна,27,Новосибирск,Графический дизайнер,Design,2,Junior,"Младший Графический дизайнер в Газпром (2023-11 - настоящее время): Прототипирование, Разработка интерфейсов | Графический дизайнер в ВТБ (2023-11 - 2025-07): Создание дизайнов, Разработка интерфейсов","Illustrator, Adobe Photoshop, Брендинг",118592,Среднее специальное,"Русский (родной), Английский (B1)","Гибкий график, Интересные проекты",2025-03-28,"Кандидат: Лебедева Валерия Артемовна. Профессия: Графический дизайнер. Опыт: 2 лет (Junior). Навыки: Illustrator, Adobe Photoshop, Брендинг. Опыт работы: Младший Графический дизайнер в Газпром (2023-11 - настоящее время): Прототипирование, Разработка интерфейсов | Графический дизайнер в ВТБ (2023-11 - 2025-07): Создание дизайнов, Разработка интерфейсов. Образование: Среднее специальное. Ожидания: Гибкий график, Интересные проекты. Город: Новосибирск"
271,Кузнецова Алла Борисовна,33,Казань,Веб-дизайнер,Design,4,Middle,"Junior Веб-дизайнер в Сбербанк (2021-11 - настоящее время): Прототипирование, Разработка интерфейсов | Старший Веб-дизайнер в ВТБ (2023-11 - 2025-09): Создание дизайнов, Разработка интерфейсов","Prototyping, Figma, UI/UX",207182,Среднее специальное,Русский (родной),"Конкурентная зарплата, Профессиональный рост",2025-06-09,"Кандидат: Кузнецова Алла Борисовна. Профессия: Веб-дизайнер. Опыт: 4 лет (Middle). Навыки: Prototyping, Figma, UI/UX. Опыт работы: Junior Веб-дизайнер в Сбербанк (2021-11 - настоящее время): Прототипирование, Разработка интерфейсов | Старший Веб-дизайнер в ВТБ (2023-11 - 2025-09): Создание дизайнов, Разработка интерфейсов. Образование: Среднее специальное. Ожидания: Конкурентная зарплата, Профессиональный рост. Город: Казань"
272,Смирнова Алла Вадимовна,28,Екатеринбург,Инженер-проектировщик,Other,5,Middle,"Инженер-проектировщик в ВТБ (2020-11 - настоящее время): Анализ данных, Поддержка пользователей | Старший Инженер-проектировщик в Яндекс (2020-11 - 2025-07): Поддержка пользователей, Консультирование клиентов","AutoCAD, Проектирование, Черчение",192882,Среднее специальное,"Русский (родной), Английский (B2)","Конкурентная зарплата, Гибкий график",2024-07-01,"Кандидат: Смирнова Алла Вадимовна. Профессия: Инженер-проектировщик. Опыт: 5 лет (Middle). Навыки: AutoCAD, Проектирование, Черчение. Опыт работы: Инженер-проектировщик в ВТБ (2020-11 - настоящее время): Анализ данных, Поддержка пользователей | Старший Инженер-проектировщик в Яндекс (2020-11 - 2025-07): Поддержка пользователей, Консультирование клиентов. Образование: Среднее специальное. Ожидания: Конкурентная зарплата, Гибкий график. Город: Екатеринбург"
273,Петров Вадим Валентинович,31,Казань,Финансовый аналитик,Finance,4,Middle,"Финансовый аналитик в Яндекс (2021-11 - настоящее время): Анализ показателей, Ведение учета | Старший Финансовый аналитик в Сбербанк (2021-11 - 2025-07): Финансовая отчетность, Анализ показателей","Excel, Финансовый анализ, Финансовое моделирование",185459,Среднее специальное,"Русский (родной), Английский (B2)","Профессиональный рост, Гибкий график",2024-03-16,"Кандидат: Петров Вадим Валентинович. Профессия: Финансовый аналитик. Опыт: 4 лет (Middle). Навыки: Excel, Финансовый анализ, Финансовое моделирование. Опыт работы: Финансовый аналитик в Яндекс (2021-11 - настоящее время): Анализ показателей, Ведение учета | Старший Финансовый аналитик в Сбербанк (2021-11 - 2025-07): Финансовая отчетность, Анализ показателей. Образование: Среднее специальное. Ожидания: Профессиональный рост, Гибкий график. Город: Казань"
274,Сидорова Алина Андреевна,33,Москва,HR менеджер,Management,3,Middle,"Junior HR менеджер в Газпром (2022-11 - настоящее время): Планирование проектов, Переговоры | Старший HR менеджер в Сбербанк (2022-11 - 2025-09): Управление командой, Планирование проектов","Onboarding, Подбор персонала, HR аналитика",224959,Среднее специальное,Русский (родной),"Гибкий график, Профессиональный рост",2025-01-30,"Кандидат: Сидорова Алина Андреевна. Профессия: HR менеджер. Опыт: 3 лет (Middle). Навыки: Onboarding, Подбор персонала, HR аналитика. Опыт работы: Junior HR менеджер в Газпром (2022-11 - настоящее время): Планирование проектов, Переговоры | Старший HR менеджер в Сбербанк (2022-11 - 2025-09): Управление командой, Планирование проектов. Образование: Среднее специальное. Ожидания: Гибкий график, Профессиональный рост. Город: Москва"
275,Лебедев Виктор Борисович,26,Санкт-Петербург,Аналитик данных,Other,2,Junior,"Junior Аналитик данных в Яндекс (2023-11 - настоящее время): Консультирование клиентов, Анализ данных | Старший Аналитик данных в Яндекс (2023-11 - 2025-08): Консультирование клиентов, Поддержка пользователей","Python, Excel, SQL",69841,Высшее,"Русский (родной), Английский (B1)","Гибкий график, Конкурентная зарплата",2024-06-21,"Кандидат: Лебедев Виктор Борисович. Профессия: Аналитик данных. Опыт: 2 лет (Junior). Навыки: Python, Excel, SQL. Опыт работы: Junior Аналитик данных в Яндекс (2023-11 - настоящее время): Консультирование клиентов, Анализ данных | Старший Аналитик данных в Яндекс (2023-11 - 2025-08): Консультирование клиентов, Поддержка пользователей. Образование: Высшее. Ожидания: Гибкий график, Конкурентная зарплата. Город: Санкт-Петербург"
276,Петров Валерий Валентинович,25,Санкт-Петербург,Бухгалтер,Finance,4,Middle,"Бухгалтер в Яндекс (2021-11 - настоящее время): Финансовая отчетность, Анализ показателей | Старший Бухгалтер в Газпром (2023-11 - 2025-06): Ведение учета, Финансовая отчетность","Налоги, Бухгалтерский учет, 1С",134225,Среднее специальное,"Русский (родной), Английский (B2)","Конкурентная зарплата, Профессиональный рост",2025-03-13,"Кандидат: Петров Валерий Валентинович. Профессия: Бухгалтер. Опыт: 4 лет (Middle). Навыки: Налоги, Бухгалтерский учет, 1С. Опыт работы: Бухгалтер в Яндекс (2021-11 - настоящее время): Финансовая отчетность, Анализ показателей | Старший Бухгалтер в Газпром (2023-11 - 2025-06): Ведение учета, Финансовая отчетность. Образование: Среднее специальное. Ожидания: Конкурентная зарплата, Профессиональный рост. Город: Санкт-Петербург"
277,Сидоров Борис Валентинович,28,Санкт-Петербург,UX/UI дизайнер,Design,8,Senior,"Junior UX/UI дизайнер в Яндекс (2017-11 - настоящее время): Прототипирование, Создание дизайнов | Старший UX/UI дизайнер в Тинькофф (2018-11 - 2025-10): Разработка интерфейсов, Прототипирование","Figma, Wireframing, User Research",237190,Высшее,"Русский (родной), Английский (B1)","Гибкий график, Конкурентная зарплата",2025-06-09,"Кандидат: Сидоров Борис Валентинович. Профессия: UX/UI дизайнер. Опыт: 8 лет (Senior). Навыки: Figma, Wireframing, User Research. Опыт работы: Junior UX/UI дизайнер в Яндекс (2017-11 - настоящее время): Прототипирование, Создание дизайнов | Старший UX/UI дизайнер в Тинькофф (2018-11 - 2025-10): Разработка интерфейсов, Прототипирование. Образование: Высшее. Ожидания: Гибкий график, Конкурентная зарплата. Город: Санкт-Петербург"
278,Смирнова Алина Валентиновна,21,Новосибирск,Аналитик данных,Other,1,Junior,"Аналитик данных в Газпром (2024-11 - настоящее время): Анализ данных, Поддержка пользователей","Excel, SQL, Python",95747,Высшее,Русский (родной),"Интересные проекты, Профессиональный рост",2023-12-27,"Кандидат: Смирнова Алина Валентиновна. Профессия: Аналитик данных. Опыт: 1 лет (Junior). Навыки: Excel, SQL, Python. Опыт работы: Аналитик данных в Газпром (2024-11 - настоящее время): Анализ данных, Поддержка пользователей. Образование: Высшее. Ожидания: Интересные проекты, Профессиональный рост. Город: Новосибирск"
